 //************************************************
//Board:5202
//File_Format_Version:3.3
//Janus_Release 4.2.0
//Acquisition_Mode:Spectroscopy
//Energy_Histo_NBins:8192
//Run#:19
//Start_Time_Epoch:1760354946190
//Start_Time_DateTime:Mon Oct 13 13:29:06 2025
//************************************************
TStamp,Trg_Id,Board_Id,Num_hits,ChannelMask,CH_Id,Data_type,PHA_LG,PHA_HG
11501818.144,0,0,4,0x68200,9,0x1,1823,-1
11501818.144,0,0,4,0x68200,15,0x1,1436,-1
11501818.144,0,0,4,0x68200,17,0x1,1719,-1
11501818.144,0,0,4,0x68200,18,0x1,1421,-1
21801057.272,1,0,4,0x74000,14,0x1,1558,-1
21801057.272,1,0,4,0x74000,16,0x1,1726,-1
21801057.272,1,0,4,0x74000,17,0x1,8191,-1
21801057.272,1,0,4,0x74000,18,0x1,2414,-1
28110496.848,2,0,4,0x70400,10,0x1,2234,-1
28110496.848,2,0,4,0x70400,16,0x1,1278,-1
28110496.848,2,0,4,0x70400,17,0x1,4266,-1
28110496.848,2,0,4,0x70400,18,0x1,2310,-1
36557465.768,3,0,4,0x60180,7,0x1,1779,-1
36557465.768,3,0,4,0x60180,8,0x1,1708,-1
36557465.768,3,0,4,0x60180,17,0x1,4709,-1
36557465.768,3,0,4,0x60180,18,0x1,6147,-1
48518156.040,4,0,5,0x70018,3,0x1,1173,-1
48518156.040,4,0,5,0x70018,4,0x1,1911,-1
48518156.040,4,0,5,0x70018,16,0x1,430,-1
48518156.040,4,0,5,0x70018,17,0x1,1466,-1
48518156.040,4,0,5,0x70018,18,0x1,2679,-1
58435096.120,5,0,4,0x60018,3,0x1,4762,-1
58435096.120,5,0,4,0x60018,4,0x1,1938,-1
58435096.120,5,0,4,0x60018,17,0x1,2505,-1
58435096.120,5,0,4,0x60018,18,0x1,6542,-1
58514259.768,6,0,4,0x71000,12,0x1,2922,-1
58514259.768,6,0,4,0x71000,16,0x1,1433,-1
58514259.768,6,0,4,0x71000,17,0x1,4013,-1
58514259.768,6,0,4,0x71000,18,0x1,1655,-1
60635003.488,7,0,5,0xf800,11,0x1,2085,-1
60635003.488,7,0,5,0xf800,12,0x1,1644,-1
60635003.488,7,0,5,0xf800,13,0x1,1834,-1
60635003.488,7,0,5,0xf800,14,0x1,1701,-1
60635003.488,7,0,5,0xf800,15,0x1,1398,-1
71085417.776,8,0,5,0x1f,0,0x1,462,-1
71085417.776,8,0,5,0x1f,1,0x1,1498,-1
71085417.776,8,0,5,0x1f,2,0x1,1559,-1
71085417.776,8,0,5,0x1f,3,0x1,1535,-1
71085417.776,8,0,5,0x1f,4,0x1,1768,-1
100768860.288,9,0,6,0x60ca0,5,0x1,2017,-1
100768860.288,9,0,6,0x60ca0,7,0x1,1816,-1
100768860.288,9,0,6,0x60ca0,10,0x1,3495,-1
100768860.288,9,0,6,0x60ca0,11,0x1,661,-1
100768860.288,9,0,6,0x60ca0,17,0x1,1457,-1
100768860.288,9,0,6,0x60ca0,18,0x1,1815,-1
116316875.560,10,0,4,0x7800,11,0x1,1042,-1
116316875.560,10,0,4,0x7800,12,0x1,1713,-1
116316875.560,10,0,4,0x7800,13,0x1,2705,-1
