//************************************************
//Board:5202
//File_Format_Version:3.3
//Janus_Release:4.2.0
//Acquisition_Mode:Timing_CStart
//Time_LSB_Value_ns:0.5
//Time_Unit:ns
//Run#:7
//Start_Time_Epoch:1761219348054
//Start_Time_DateTime_UTC:Thu Oct 23 11:35:48 2025
//************************************************
TStamp_us,Board_Id,Num_Hits,CH_Id,DataType,ToA_ns,ToT_ns
29584299.5865,0,4,16,0x30,218.000000,27.000000
29584299.5865,0,4,18,0x30,217.000000,33.000000
29584299.5865,0,4,3,0x30,227.000000,8.500000
29584299.5865,0,4,17,0x30,227.000000,13.000000
31122548.8425,0,8,4,0x30,230.500000,22.500000
31122548.8425,0,8,9,0x30,223.000000,38.000000
31122548.8425,0,8,11,0x30,222.000000,44.000000
31122548.8425,0,8,10,0x30,223.000000,40.000000
31122548.8425,0,8,7,0x30,223.500000,37.000000
31122548.8425,0,8,8,0x30,223.500000,35.500000
31122548.8425,0,8,6,0x30,224.500000,34.000000
31122548.8425,0,8,5,0x30,228.000000,26.500000
61505785.0985,0,4,16,0x30,221.000000,16.500000
61505785.0985,0,4,17,0x30,212.500000,36.000000
61505785.0985,0,4,15,0x30,216.500000,29.500000
61505785.0985,0,4,18,0x30,222.500000,15.000000
69074128.4585,0,4,7,0x30,225.000000,21.500000
69074128.4585,0,4,6,0x30,220.500000,35.500000
69074128.4585,0,4,17,0x30,223.500000,31.000000
69074128.4585,0,4,18,0x30,219.500000,46.000000
76940556.0185,0,6,12,0x30,227.000000,33.000000
76940556.0185,0,6,13,0x30,225.500000,36.500000
76940556.0185,0,6,18,0x30,224.500000,59.500000
76940556.0185,0,6,17,0x30,223.500000,67.000000
76940556.0185,0,6,10,0x30,240.000000,10.500000
76940556.0185,0,6,11,0x30,225.500000,38.000000
78878626.5945,0,4,7,0x30,223.500000,29.500000
78878626.5945,0,4,16,0x30,224.000000,25.000000
78878626.5945,0,4,17,0x30,224.500000,27.000000
78878626.5945,0,4,18,0x30,225.000000,27.000000
79579566.7225,0,4,16,0x30,221.000000,23.500000
79579566.7225,0,4,7,0x30,221.000000,26.500000
79579566.7225,0,4,18,0x30,222.000000,24.500000
79579566.7225,0,4,17,0x30,224.000000,23.000000
105756701.9065,0,4,2,0x30,226.000000,25.000000
105756701.9065,0,4,1,0x30,226.000000,27.500000
105756701.9065,0,4,17,0x30,226.500000,27.500000
105756701.9065,0,4,18,0x30,222.500000,44.500000
122830829.3865,0,5,7,0x30,226.500000,26.500000
122830829.3865,0,5,18,0x30,224.000000,37.000000
122830829.3865,0,5,17,0x30,223.000000,40.000000
122830829.3865,0,5,9,0x30,226.500000,24.000000
122830829.3865,0,5,6,0x30,235.500000,10.500000
134269614.7625,0,4,2,0x30,222.500000,19.500000
134269614.7625,0,4,1,0x30,224.000000,18.500000
134269614.7625,0,4,17,0x30,227.500000,13.000000
134269614.7625,0,4,18,0x30,216.500000,43.500000
143887228.6825,0,4,16,0x30,223.500000,19.500000
143887228.6825,0,4,17,0x30,216.500000,39.500000
143887228.6825,0,4,18,0x30,227.000000,16.000000
143887228.6825,0,4,14,0x30,228.500000,9.000000
153454239.3065,0,6,2,0x30,221.000000,31.500000
