Index,CH_Id,PHA_LG
1,14,1558
1,16,1726
1,17,8191
1,18,2414
2,10,2234
2,16,1278
2,17,4266
2,18,2310
3,12,2922
3,16,1433
3,17,4013
3,18,1655
4,13,5266
4,16,1996
4,17,8191
4,18,2490
5,14,1813
5,16,2090
5,17,5563
5,18,1162
6,15,1174
6,16,1773
6,17,7034
6,18,1879
7,15,2220
7,16,2787
7,17,3728
7,18,1136
8,14,2089
8,16,2421
8,17,4537
8,18,1221
9,10,2024
9,16,1784
9,17,3790
9,18,2087
10,11,2632
10,16,1908
10,17,7725
10,18,2999
11,12,2074
11,16,1126
11,17,3931
11,18,2028
12,13,2384
12,16,2610
12,17,8191
12,18,2622
13,10,1275
13,16,1913
13,17,4784
13,18,2604
14,12,995
14,16,1577
14,17,5976
14,18,2182
15,7,2362
15,16,1365
15,17,2904
15,18,2942
16,11,2084
16,16,1433
16,17,8045
16,18,3364
17,15,1559
17,16,2232
17,17,5711
17,18,1361
18,2,2329
18,16,1633
18,17,1966
18,18,4613
19,14,2650
19,16,2851
19,17,6145
19,18,1253
20,12,2041
20,16,1410
20,17,4986
20,18,1658
21,10,1310
21,16,1248
21,17,4417
21,18,1775
22,14,2013
22,16,1856
22,17,5107
22,18,1503
23,7,3398
23,16,1282
23,17,2975
23,18,1633
24,12,2088
24,16,1486
24,17,3807
24,18,1240
25,15,1356
25,16,3392
25,17,8048
25,18,1256
26,10,2387
26,16,1609
26,17,4820
26,18,2380
27,9,1820
27,16,1235
27,17,4185
27,18,2808
28,15,2330
28,16,1552
28,17,6733
28,18,1759
29,13,1692
29,16,1920
29,17,4258
29,18,1288
30,14,1454
30,16,1490
30,17,5547
30,18,1512
31,13,1526
31,16,2114
31,17,5069
31,18,1995
32,13,1580
32,16,1578
32,17,4247
32,18,1533
33,12,1220
33,16,1473
33,17,3951
33,18,1349
34,12,1555
34,16,1462
34,17,6420
34,18,2588
35,14,1031
35,16,3182
35,17,4660
35,18,1414
36,15,1792
36,16,3195
36,17,5766
36,18,1556
37,14,2026
37,16,2291
37,17,6517
37,18,1751
38,13,2452
38,16,2765
38,17,3731
38,18,1134
39,13,2910
39,16,1959
39,17,3711
39,18,1910
40,11,2195
40,16,1470
40,17,3598
40,18,1732
41,11,2081
41,16,1158
41,17,4407
41,18,1554
42,12,1500
42,16,1153
42,17,4015
42,18,1578
43,10,1459
43,16,2579
43,17,4881
43,18,2544
44,13,2518
44,16,1341
44,17,5059
44,18,1714
45,11,1512
45,16,1178
45,17,2490
45,18,1346
46,11,3046
46,16,1196
46,17,4023
46,18,1403
47,13,1363
47,16,2439
47,17,5084
47,18,2447
48,13,2429
48,16,2431
48,17,4404
48,18,1374
49,12,2141
49,16,1660
49,17,5749
49,18,1743
50,13,1600
50,16,1530
50,17,4097
50,18,1082
51,11,2595
51,16,1204
51,17,3983
51,18,1846
52,13,2159
52,16,1402
52,17,3584
52,18,1651
53,14,1081
53,16,1918
53,17,6357
53,18,1953
54,14,2038
54,16,3715
54,17,6667
54,18,1140
55,2,3705
55,16,1600
55,17,1399
55,18,3547
56,8,1199
56,16,1385
56,17,2249
56,18,2609
57,14,1358
57,16,2694
57,17,5129
57,18,1253
58,13,1839
58,16,1859
58,17,3840
58,18,1149
59,12,2346
59,16,1714
59,17,4235
59,18,1814
60,2,2378
60,16,1092
60,17,1134
60,18,3315
61,9,2844
61,16,1217
61,17,3097
61,18,2192
62,15,2275
62,16,3073
62,17,6683
62,18,1419
63,13,1944
63,16,3392
63,17,8191
63,18,2279
64,13,1789
64,16,2815
64,17,3448
64,18,1788
65,5,1967
65,16,1401
65,17,2077
65,18,3135
66,14,1238
66,16,4432
66,17,5089
66,18,1367
67,14,1188
67,16,2260
67,17,7622
67,18,2453
68,11,1909
68,16,1088
68,17,3457
68,18,1698
69,12,1939
69,16,1411
69,17,4129
69,18,1485
70,14,1553
70,16,2127
70,17,5963
70,18,1643
71,7,2718
71,16,1173
71,17,3098
71,18,3117
72,9,2443
72,16,1869
72,17,2824
72,18,1932
73,11,1441
73,16,1694
73,17,4122
73,18,1937
74,14,1264
74,16,2370
74,17,8191
74,18,2051
75,11,2625
75,16,1343
75,17,4886
75,18,2056
76,13,1899
76,16,1546
76,17,5238
76,18,1106
77,11,2200
77,16,1160
77,17,3934
77,18,1342
78,12,1551
78,16,1412
78,17,2980
78,18,1385
79,13,1350
79,16,3567
79,17,6210
79,18,1859
80,13,1537
80,16,1693
80,17,3966
80,18,1470
81,14,1251
81,16,5199
81,17,5023
81,18,1479
82,15,2170
82,16,4808
82,17,7528
82,18,1075
83,14,1501
83,16,2890
83,17,4189
83,18,1247
84,10,1152
84,16,2036
84,17,4049
84,18,2295
85,10,2091
85,16,1691
85,17,6707
85,18,3356
86,13,1250
86,16,1637
86,17,4350
86,18,1349
87,13,1427
87,16,4191
87,17,5211
87,18,2253
88,12,1743
88,16,1261
88,17,3367
88,18,1416
89,11,2102
89,16,1760
89,17,5898
89,18,3262
90,1,2293
90,16,1537
90,17,1128
90,18,3709
91,2,4575
91,16,1279
91,17,1480
91,18,3746
92,14,2844
92,16,2019
92,17,4553
92,18,1146
93,14,1841
93,16,1814
93,17,6037
93,18,1902
94,8,2595
94,16,1410
94,17,3552
94,18,4111
95,14,2158
95,16,2972
95,17,5316
95,18,1477
96,14,2445
96,16,2773
96,17,5939
96,18,1420
97,11,2206
97,16,2058
97,17,4343
97,18,1661
98,13,1595
98,16,3458
98,17,5340
98,18,1800
99,11,1037
99,16,1966
99,17,5948
99,18,2358
100,13,1157
100,16,1980
100,17,7205
100,18,1933
101,2,8144
101,16,2525
101,17,6058
101,18,8191
102,15,1441
102,16,2878
102,17,6629
102,18,1286
103,14,1419
103,16,2454
103,17,3590
103,18,1242
104,10,1524
104,16,2098
104,17,2656
104,18,1413
105,14,1909
105,16,3020
105,17,5283
105,18,2058
106,6,2366
106,16,1275
106,17,2377
106,18,2273
107,12,1590
107,16,1428
107,17,3856
107,18,1685
108,14,2568
108,16,2625
108,17,5675
108,18,1713
109,13,1635
109,16,2591
109,17,8094
109,18,3126
110,11,2927
110,16,2153
110,17,5111
110,18,1955
111,6,2926
111,16,1929
111,17,1614
111,18,1158
112,13,1771
112,16,1301
112,17,6477
112,18,2357
113,14,1913
113,16,1740
113,17,5190
113,18,1405
114,14,3189
114,16,2829
114,17,5571
114,18,1560
115,13,1615
115,16,1706
115,17,4007
115,18,1480
116,11,2671
116,16,1977
116,17,1845
116,18,1107
117,14,1708
117,16,2161
117,17,6039
117,18,1478
118,13,1871
118,16,1902
118,17,4578
118,18,1577
119,9,1628
119,16,1346
119,17,4219
119,18,3375
120,13,2114
120,16,1691
120,17,7491
120,18,1886
121,12,2366
121,16,2902
121,17,2307
121,18,1132
122,12,1202
122,16,1167
122,17,4308
122,18,1399
123,12,1709
123,16,1485
123,17,3569
123,18,1311
124,14,1346
124,16,2455
124,17,7780
124,18,1956
125,11,1668
125,16,1140
125,17,3433
125,18,1868
126,11,2414
126,16,1196
126,17,4031
126,18,1703
127,10,4407
127,16,1687
127,17,4147
127,18,2897
128,14,1440
128,16,2108
128,17,3796
128,18,1331
129,13,1565
129,16,2031
129,17,6863
129,18,1917
130,14,1853
130,16,2344
130,17,4693
130,18,1288
131,14,1823
131,16,2615
131,17,7330
131,18,1846
132,11,1543
132,16,1252
132,17,3866
132,18,2254
133,12,1401
133,16,1148
133,17,7557
133,18,2392
134,7,1845
134,16,1179
134,17,3112
134,18,2616
135,2,3077
135,16,1717
135,17,1194
135,18,2932
136,8,1535
136,16,1412
136,17,2263
136,18,2254
137,7,1821
137,16,1212
137,17,1558
137,18,1482
138,11,1613
138,16,1274
138,17,4446
138,18,1771
139,14,1578
139,16,2052
139,17,3901
139,18,1502
140,7,2764
140,16,1190
140,17,3586
140,18,2503
141,12,1092
141,16,1646
141,17,4625
141,18,1837
142,9,1287
142,16,2065
142,17,3041
142,18,1693
143,14,1889
143,16,2023
143,17,7659
143,18,1808
144,10,1450
144,16,1311
144,17,3736
144,18,1965
145,14,1912
145,16,1928
145,17,6476
145,18,1272
146,14,1553
146,16,2471
146,17,5625
146,18,2087
147,14,3227
147,16,1576
147,17,4904
147,18,1253
148,5,2959
148,16,1425
148,17,4098
148,18,6611
149,14,1750
149,16,5628
149,17,8191
149,18,2069
150,12,1547
150,16,1864
150,17,3749
150,18,1134
151,13,1431
151,16,2204
151,17,3827
151,18,1131
152,7,2293
152,16,1541
152,17,2433
152,18,2641
153,12,1695
153,16,1561
153,17,4120
153,18,1385
154,13,2936
154,16,3610
154,17,5026
154,18,1410
155,13,1004
155,16,1391
155,17,4548
155,18,1348
156,12,1626
156,16,1388
156,17,4627
